id,title,set,url
1,Caterpie,Burning Shadows,https://pkmncards.com/wp-content/uploads/en_US-SM3-001-caterpie.jpg
2,Metapod,Burning Shadows,https://pkmncards.com/wp-content/uploads/en_US-SM3-002-metapod.jpg
3,Butterfree,Burning Shadows,https://pkmncards.com/wp-content/uploads/en_US-SM3-003-butterfree.jpg
4,Oddish,Burning Shadows,https://pkmncards.com/wp-content/uploads/en_US-SM3-004-oddish.jpg
5,Gloom,Burning Shadows,https://pkmncards.com/wp-content/uploads/en_US-SM3-005-gloom.jpg
6,Vileplume,Burning Shadows,https://pkmncards.com/wp-content/uploads/en_US-SM3-006-vileplume.jpg
7,Tangela,Burning Shadows,https://pkmncards.com/wp-content/uploads/en_US-SM3-007-tangela.jpg
8,Tangrowth,Burning Shadows,https://pkmncards.com/wp-content/uploads/en_US-SM3-008-tangrowth.jpg
9,Ledyba,Burning Shadows,https://pkmncards.com/wp-content/uploads/en_US-SM3-009-ledyba.jpg
10,Ledian,Burning Shadows,https://pkmncards.com/wp-content/uploads/en_US-SM3-010-ledian.jpg
